id,encounter_date,reported_date,year,month,hour,season,country_code,country,region,locale,latitude,longitude,ufo_shape,duration_secs,description
53348,2006-06-03 03:00:00,2006-10-30,2006,June,3,Summer,,,,,14.540111,-74.967637,Light,1500.0,3 underwater ufo light objects sighted off the coast of mexaco near cozumel.
54075,2003-06-07 01:45:00,2003-06-10,2003,June,1,Summer,,Netherlands,,,51.921667,4.481111,Fireball,600.0,we say a small fireball getting bigger and than it was going up and white high speed to the left and dissepeert in to space.
54403,1995-06-09 02:40:00,1999-11-02,1995,June,2,Summer,,,,,-8.783195,-124.508523,,60.0,intl. airliner crew at 37k witness brilliantly bright yellow obj. streak ahead of them on l side. over e horizon in 1 min.. exclnt.
55429,2000-07-01 23:00:00,2012-05-13,2000,July,23,Summer,,Netherlands,,,52.160114,4.49701,Rectangle,60.0,fast moving object in night sky.
56559,1971-07-15 14:00:00,2013-12-05,1971,July,14,Summer,,,,,19.491411,132.55096,Cigar,420.0,navy ship meets ufo mother ship at sea.
56580,1974-07-15 02:00:00,2004-06-18,1974,July,2,Summer,,,,,34.553128,18.048011,Unknown,1800.0,underwater light outruns one of the us navys fastest ships and the coverup that insues
56982,2002-07-15 03:20:00,2002-07-26,2002,July,3,Summer,,United Kingdom,,,50.8,-0.366667,Light,180.0,white light diamond shape moving from west to east along the south coast.light was continuously moving in various directions and no tra
56985,2002-07-15 05:00:00,2004-11-02,2002,July,5,Summer,,United Kingdom,,,50.85,0.6,Light,5.0,slow moving bright ball of light like a white  flair
58724,1971-07-02 21:00:00,2000-07-23,1971,July,21,Summer,,,,,-14.599413,-28.673147,Sphere,300.0,after noting a communicaitons failure we observed a large glowing sphere hovering over the ship.
60562,2003-07-29 00:00:00,2006-07-16,2003,July,0,Summer,,,,,-14.599413,-28.673147,Circle,900.0,baseball size lightsone behind the othertravelling in straight line
61070,2006-07-31 15:18:00,2006-12-07,2006,July,15,Summer,,United States,,,40.723384,-74.001704,Sphere,1.0,spheres passing soho satelite one million miles from earth
63181,2007-07-06 23:00:00,2007-08-07,2007,July,23,Summer,,,,,-14.599413,-28.673147,Circle,600.0,july 6 2007  aboard the carnival liberty atlantic ocean south of florida keys  observed three round blue/green objects.
63823,2010-07-08 21:30:00,2010-08-24,2010,July,21,Summer,,United Kingdom,,,51.016667,1.0,Egg,600.0,6 flying objects  what were they
64287,2005-08-10 23:30:00,2005-12-16,2005,August,23,Summer,,,,,14.540111,-74.967637,Light,45.0,from a cruise ship balcony my stargazing wife and i saw a 'star' streak across the sky stop zig zag erratically and disappear.
64753,1961-08-01 02:00:00,2001-11-20,1961,August,2,Summer,,Philippines,,,14.791058,120.239734,Circle,1800.0,looking east about 10 to 15 degrees above the horizon i saw this starlike object at a very high speed. there was only one light which
65926,2002-08-14 02:58:00,2002-08-16,2002,August,2,Summer,,,,,-14.599413,-28.673147,Light,13.0,satellite-like object seen manuvering s-turns over atlantic ocean near nassau bahamas.
66675,2005-08-15 22:30:00,2006-10-30,2005,August,22,Summer,,Netherlands,,,53.219384,6.566502,Circle,60.0,groningen the netherlands
67420,2002-08-18 23:08:00,2002-08-28,2002,August,23,Summer,,United Kingdom,,,50.783333,-0.466667,Triangle,600.0,1 triangle shaped craftbigto far to see what colour .moved in ziping motion.ps one object may have been droped.
68020,2003-08-20 13:45:00,2003-09-09,2003,August,13,Summer,,,,,41.934977,50.668945,Oval,20.0,on august 20 2003   at 1.45 pm (sunshine) me and my cousin were driving along the caspian sea from chaloos(small beach city) to shahs
68058,2004-08-20 22:15:00,2004-10-27,2004,August,22,Summer,,,,,41.85509,17.290284,Formation,420.0,triangle of lights moving in a straight line across the agean sea almost west-to-east.
68301,2003-08-21 21:29:00,2003-09-09,2003,August,21,Summer,,,,,-14.599413,-28.673147,Unknown,600.0,ufo sighting 17 miles into the atlantic ocean
68589,2006-08-02 02:30:00,2006-10-30,2006,August,2,Summer,,United Kingdom,,,50.583333,-3.4,Diamond,3.0,bright green light over exmouth england.
69682,2013-08-25 16:00:00,2013-12-02,2013,August,16,Summer,,United Kingdom,,,52.633333,1.75,Sphere,4.0,i have taken picture of the sun hiding in the fogs.  there was a sphere light next to the sun.  ((nuforc note:  lens flare.  pd))
69784,2006-08-26 03:30:00,2006-10-30,2006,August,3,Summer,,,,,-14.599413,-28.673147,Light,300.0,bright light changing colors sitting still in the sky for 3-4 minutes and then moving slowly and disapperaing in front of our plane.
69930,2002-08-27 02:30:00,2007-02-24,2002,August,2,Summer,,,,,14.540111,-74.967637,Triangle,300.0,multi-light triangle shaped ufo over caribbean ocean as viewed from a cruise ship.
70642,2004-08-30 10:00:00,2004-09-01,2004,August,10,Summer,,,,,-14.599413,-28.673147,Unknown,5.0,beacon type flashes over the atlantic (pilot report)
70713,2010-08-30 22:00:00,2010-08-30,2010,August,22,Summer,,United Kingdom,,,54.1,-5.883333,Fireball,300.0,orange light with no noise flying level then climbing rapidly.
71325,2001-08-04 01:30:00,2001-08-05,2001,August,1,Summer,,United Kingdom,,,50.8,-0.366667,Diamond,3600.0,u.f.o in surry for 1 hour
71400,2007-08-04 23:15:00,2007-08-07,2007,August,23,Summer,,United Kingdom,,,50.8,-0.366667,Circle,300.0,circular light zig-zagging across the sky
72684,2010-08-09 00:30:00,2010-08-24,2010,August,0,Summer,,Germany,,,50.933333,6.95,Cylinder,180.0,sighted a formation of 6 2 side by side followed by another 2then 2 more flying single file from north to south over the center of th
73208,2009-09-11 21:45:00,2009-12-12,2009,September,21,Autumn,,United Kingdom,,,50.783333,-0.466667,Unknown,5.0,i was out with my telescope tonight...looking in the region of the constellation of cassiopea...if you look at the star shedir 18alp in
74538,1966-09-15 01:30:00,2007-10-08,1966,September,1,Autumn,,,,,-8.783195,-124.508523,Unknown,300.0,object in water 2 feet from boat made a straight right turn at high speed
75537,2005-09-18 14:00:00,2005-10-11,2005,September,14,Autumn,,,,,-14.599413,-28.673147,Disk,60.0,lenticular cloud to disc
75673,1996-09-19 23:30:00,1999-11-23,1996,September,23,Autumn,,France,,,48.856614,2.352222,Oval,420.0,raining / at approx 11.30 or so my wife and i saw a moving oval object behind the clouds ( very clearly ) which was glowing and sudde
76022,1988-09-20 13:00:00,2005-05-11,1988,September,13,Autumn,,,,,-14.599413,-28.673147,Unknown,20.0,the craft was visible at different positions for about 20 seconds at a distance of 3 to 4 miles to 4 to 500 feet.
76278,1988-09-21 03:00:00,2005-05-11,1988,September,3,Autumn,,,,,-14.599413,-28.673147,Fireball,15.0,the light clearly lit up the bow of the vessel where no light should have been in the middle of the atlantic.
77004,2010-09-22 22:30:00,2010-11-21,2010,September,22,Autumn,,,,,-14.599413,-28.673147,Light,120.0,ufo?...bouncing light then the large object that seemed to be dropping things off of it see the videos i captured some of the scenes
78921,2006-09-03 18:22:00,2006-12-07,2006,September,18,Autumn,,Denmark,,,57.04882,9.921747,Circle,180.0,small white object flew a bit slow.
